id,title,price,description,location_id,old_state_id,old_municipality_id,street,geo_long,geo_lat,rooms,bathrooms,parking,area,antiquity_year,stories,construction_area,belongs_to,published,archived,deleted_at,created_at,updated_at,show_zip_code,show_address,show_latitude_longitude,show_email,show_phone,show_mobile,show_whatsapp,short_description,custom_floor,pet_friendly,green_tech,zone_type,corner,api_registered,priority,active,postal,zone,space,working_space,ref,type,street_type,temporal_use,floor,remodeling,use,currency,price_unit,external_ref,area_unit,space_unit,construction_date_milestones,ap_order_priority,crm_perk_granted,crm_imported_property,video_url,maintenance_price,tour_url,state_id,municipality_id,postal_code_id,locality_id,has_exclusivity
104012,0,2251000,0,,19,39,Av. Rogelio Cantu 203 - 203-1 (1-A),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-1 (1-A) Col. Villas de San Jerónimo Nivel Primer Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,40.93,125.6,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
103923,0,2251000,0,,19,39,Av. Rogelio Cantu 203 - 203-5 (2-A),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-5 (2-A) Col. Villas de San Jerónimo Nivel Segundo Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,40.93,125.6,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
108935,0,1199000,0,,19,39,Jesús María González 301 - Depto. 13,N/A,N/A,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Jesús María González # 301 Int. Depto. 13 Col. San Jerónimo Nivel 5 Entrada Río Lerma, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,San Jerónimo,71.74,95.05,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
128391,0,3800000,0,,19,39,Bocaccio 130,25.683874,-100.3700408,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Bocaccio # 130 Col. Colinas de San Jeronimo, 2o. Sector, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630," Colinas de San Jeronimo, 2o. Sector",374.88,319.58,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
163842,0,2600000,0,,19,39,Valladolid 217,25.6891378,-100.375823,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Valladolid # 217 Col. Rincón de San Jerónimo, Monterrey, Nuevo León C.P. 64637",,0,0,0,0,0,0,0,64637,Rincón de San Jerónimo,218.8,291,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64637,64637,0
172240,0,2254000,0,,19,39,Av. Rogelio Cantu 203 - 203-2 (1-B),25.6742643,-100.3756393,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Av. Rogelio Cantu # 203 Int. 203-2 (1-B) Col. Villas de San Jerónimo Nivel Segundo Condominio Vertical Entrada Río Lerma, Monterrey, Nuevo León C.P. 64634",,0,0,0,0,0,0,0,64634,Villas de San Jerónimo,40.34,123.24,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64634,64634,0
173537,0,1400000,0,,19,39,Jesús María González 150 - 2,N/A,N/A,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Jesús María González # 150 Int. 2 Col. San Jerónimo Nivel Uno Entrada Río Lerma, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,San Jerónimo,51.87,86.89,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
213509,0,851000,0,,19,39,DR. FRANCISCO L. ROCHA 424-11 - 11,N/A,N/A,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"DR. FRANCISCO L. ROCHA # 424-11 Int. 11 Col. SAN JERONIMO, Monterrey, Nuevo León C.P. 64640",,0,0,0,0,0,0,0,64640,SAN JERONIMO,42.88,89.55,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64640,64640,0
222877,0,672000,0,,19,39,Camino de los Pavorreales s/n,25.6855898,-100.3764528,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Camino de los Pavorreales # s/n Col. Colonial San Jerónimo, Monterrey, Nuevo León C.P. 64630",,0,0,0,0,0,0,0,64630,Colonial San Jerónimo,160,160,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64630,64630,0
226875,0,1300000,0,,19,39,Antiguo Camino a las Praderas 583,N/A,N/A,0,0,0,0,0,0,0,0,,0,0,2022-06-22 13:07:27,2022-06-22 13:07:27,0,0,0,0,0,0,0,"Antiguo Camino a las Praderas # 583 Col. Residencial San Jeronimo II, Monterrey, Nuevo León C.P. 64635",,0,0,0,0,0,0,0,64635,Residencial San Jeronimo II,110,171,0,0,0,0,0,0,0,mxn,0,0,m2,m2,,0,0,0,0,0,0,19,948,64635,64635,0
